trading_symbol,exchange_token
HIKAL-EQ,9668
GOACARBON-EQ,14687
JSWSTEEL-EQ,11723
MTARTECH-EQ,2709
AARTIPHARM-EQ,13868
SPAL-EQ,18252
EMUDHRA-EQ,9756
SGL-EQ,13367
ALKEM-EQ,11703
AVONMORE-EQ,13557
PCJEWELLER-EQ,29124
PODDARMENT-EQ,19036
BLUECOAST-EQ,7480
JINDRILL-EQ,13875
JINDALSAW-EQ,3024
GARUDA-EQ,25800
MOLDTECH-EQ,17625
ASMS-EQ,14064
LICNFNHGP-EQ,15229
NDL-EQ,31258
SUTLEJTEX-EQ,13801
MON100-EQ,22739
AAKASH-EQ,235
NAHARPOLY-EQ,14445
SMARTWORKS-EQ,757965
VALIANTORG-EQ,330
SAGCEM-EQ,14068
FMGOETZE-EQ,1190
RAMCOCEM-EQ,2043
BAJAJINDEF-EQ,29678
MOLOWVOL-EQ,8654
DCI-EQ,11566
SHIVATEX-EQ,804
DDEVPLSTIK-EQ,29098
LTGILTCASE-EQ,758705
NMDC-EQ,15332
HIRECT-EQ,13890
BSLGOLDETF-EQ,23804
SIGNPOST-EQ,22656
NORTHARC-EQ,25426
CENTUM-EQ,14982
INDOAMIN-EQ,9116
ASIANHOTNR-EQ,18422
RPEL-EQ,24735
HDFCNIFTY-EQ,11591
VISAKAIND-EQ,4221
INDBANK-EQ,16933
GLENMARK-EQ,7406
ALOKINDS-EQ,17675
ELECTHERM-EQ,4469
JSWENERGY-EQ,17869
DMCC-EQ,6973
VISHWARAJ-EQ,13702
AXISHCETF-EQ,3608
KCPSUGIND-EQ,4809
JMFINANCIL-EQ,13637
AXISVALUE-EQ,30155
MOGSEC-EQ,1507
KRITIKA-EQ,9288
ELIQUID-EQ,759466
KMEW-EQ,27084
MAHSCOOTER-EQ,2085
SBILIFE-EQ,21808
SILVERBND-EQ,760328
BIOCON-EQ,11373
DHAMPURSUG-EQ,857
RAMASTEEL-EQ,10300
HERITGFOOD-EQ,4598
SANGHIIND-EQ,2997
ITI-EQ,1675
STEELCAS-EQ,6803
HPIL-EQ,11796
LAXMIDENTL-EQ,29171
TIRUMALCHM-EQ,3496
EVINDIA-EQ,24461
SANOFICONR-EQ,25222
INDOSTAR-EQ,3088
MIDCAPBETA-EQ,18347
NAVKARCORP-EQ,10557
IRCTC-EQ,13611
AMAGI-EQ,760740
HAVELLS-EQ,9819
UNIECOM-EQ,24809
SAMMAANCAP-EQ,30125
COALINDIA-EQ,20374
