Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,05 FEB 2026,               2.00,        1497778469,             10.70,    16011251833.60  
05 FEB 2026,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,05 FEB 2026,              10.00,          15238326,            887.90,    13530109655.40   
05 FEB 2026,ALLETEC,SM,ALL E TECHNOLOGIES LTD   ,Listed    ,05 FEB 2026,              10.00,          20194176,            182.65,     3688466246.40   
05 FEB 2026,ALLTIME,EQ,ALL TIME PLASTICS LIMITED,Listed    ,05 FEB 2026,               2.00,          65507778,            240.05,    15723831953.35   
05 FEB 2026,ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD   ,Listed    ,05 FEB 2026,               1.00,         173646754,             14.35,     2493567387.45   
05 FEB 2026,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,05 FEB 2026,               1.00,        4965240401,             16.15,    80287937284.15  
05 FEB 2026,ALPA,EQ,ALPA LABORATORIES LTD    ,Listed    ,05 FEB 2026,              10.00,          21040600,             69.60,     1464846572.00      
05 FEB 2026,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,05 FEB 2026,              10.00,          25543000,            783.25,    20006554750.00
05 FEB 2026,ALPHAGEO,EQ,ALPHAGEO (INDIA) LIMITED ,Listed    ,05 FEB 2026,              10.00,           6364767,            225.50,     1435127663.15  
05 FEB 2026,ALUWIND,SM,ALUWIND INFRA-TECH LTD   ,Listed    ,05 FEB 2026,              10.00,          24847420,             61.00,     1515692620.00   
05 FEB 2026,AMAGI,EQ,AMAGI MEDIA LABS LIMITED ,Listed    ,05 FEB 2026,               5.00,         216338944,            374.00,    80910765056.00     
05 FEB 2026,AMANTA,EQ,AMANTA HEALTHCARE LIMITED,Listed    ,05 FEB 2026,              10.00,          38829351,            104.40,     4054560831.40    
05 FEB 2026,AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED  ,Listed    ,05 FEB 2026,              10.00,           7658659,            114.20,      874618857.80
05 FEB 2026,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,05 FEB 2026,              10.00,          35172042,           6399.50,   225083482779.00     
05 FEB 2026,AMBEY,SM,AMBEY LABORATORIES LTD   ,Listed    ,05 FEB 2026,              10.00,          24946819,             29.70,      740920524.30     
05 FEB 2026,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,05 FEB 2026,              10.00,          17177400,             23.75,      407619702.00
05 FEB 2026,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,05 FEB 2026,              10.00,           5725000,           1331.80,     7624555000.00   
05 FEB 2026,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,05 FEB 2026,               2.00,        2471823478,            533.05,  1317605504947.90 
05 FEB 2026,AMCL,ST,ANB METAL CAST LIMITED   ,Listed    ,05 FEB 2026,              10.00,          11834780,            311.75,     3689492665.00      
05 FEB 2026,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,05 FEB 2026,              10.00,          19166749,             43.90,      841420281.10    
05 FEB 2026,AMEYA,SM,AMEYA PRECISION ENG LTD  ,Listed    ,04 FEB 2026,              10.00,           7500000,             90.35,      677625000.00     
05 FEB 2026,AMIABLE,ST,AMIABLE LOGISTICS (I) LTD,Listed    ,16 JAN 2026,              10.00,           1748200,             72.90,      127443780.00   
05 FEB 2026,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,Listed    ,05 FEB 2026,               2.00,          41000000,             40.30,     1652710000.00   
05 FEB 2026,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,05 FEB 2026,               2.00,          55020000,            173.00,     9519010200.00   
05 FEB 2026,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,05 FEB 2026,               1.00,          28910630,            629.65,    18203578179.50
05 FEB 2026,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,05 FEB 2026,               5.00,          83020634,           2943.60,   244379538242.40
05 FEB 2026,ANANTAM,IV,ANANTAM HIGHWAYS TRUST   ,Listed    ,05 FEB 2026,             100.00,         217500000,            102.50,    22291575000.00   
